,sepal_length,sepal_width,petal_length,petal_width,species,rating
0,5.1,3.5,1.4,0.2,setosa,1
1,4.9,3.0,1.4,0.2,setosa,1
2,4.7,3.2,1.3,0.2,setosa,0
3,4.6,3.1,1.5,0.2,setosa,3
4,5.0,3.6,1.4,0.2,setosa,0
5,5.4,3.9,1.7,0.4,setosa,1
6,4.6,3.4,1.4,0.3,setosa,3
7,5.0,3.4,1.5,0.2,setosa,0
8,4.4,2.9,1.4,0.2,setosa,1
9,4.9,3.1,1.5,0.1,setosa,1
10,5.4,3.7,1.5,0.2,setosa,0
11,4.8,3.4,1.6,0.2,setosa,1
12,4.8,3.0,1.4,0.1,setosa,1
13,4.3,3.0,1.1,0.1,setosa,2
14,5.8,4.0,1.2,0.2,setosa,0
15,5.7,4.4,1.5,0.4,setosa,1
16,5.4,3.9,1.3,0.4,setosa,0
17,5.1,3.5,1.4,0.3,setosa,2
18,5.7,3.8,1.7,0.3,setosa,0
19,5.1,3.8,1.5,0.3,setosa,2
20,5.4,3.4,1.7,0.2,setosa,0
21,5.1,3.7,1.5,0.4,setosa,3
22,4.6,3.6,1.0,0.2,setosa,0
23,5.1,3.3,1.7,0.5,setosa,0
24,4.8,3.4,1.9,0.2,setosa,3
25,5.0,3.0,1.6,0.2,setosa,3
26,5.0,3.4,1.6,0.4,setosa,2
27,5.2,3.5,1.5,0.2,setosa,0
28,5.2,3.4,1.4,0.2,setosa,3
29,4.7,3.2,1.6,0.2,setosa,2
30,4.8,3.1,1.6,0.2,setosa,2
31,5.4,3.4,1.5,0.4,setosa,1
32,5.2,4.1,1.5,0.1,setosa,0
33,5.5,4.2,1.4,0.2,setosa,0
34,4.9,3.1,1.5,0.1,setosa,2
35,5.0,3.2,1.2,0.2,setosa,1
36,5.5,3.5,1.3,0.2,setosa,3
37,4.9,3.1,1.5,0.1,setosa,2
38,4.4,3.0,1.3,0.2,setosa,1
39,5.1,3.4,1.5,0.2,setosa,1
40,5.0,3.5,1.3,0.3,setosa,1
41,4.5,2.3,1.3,0.3,setosa,3
42,4.4,3.2,1.3,0.2,setosa,1
43,5.0,3.5,1.6,0.6,setosa,2
44,5.1,3.8,1.9,0.4,setosa,1
45,4.8,3.0,1.4,0.3,setosa,0
46,5.1,3.8,1.6,0.2,setosa,2
47,4.6,3.2,1.4,0.2,setosa,2
48,5.3,3.7,1.5,0.2,setosa,2
49,5.0,3.3,1.4,0.2,setosa,1
50,7.0,3.2,4.7,1.4,versicolor,0
51,6.4,3.2,4.5,1.5,versicolor,1
52,6.9,3.1,4.9,1.5,versicolor,3
53,5.5,2.3,4.0,1.3,versicolor,1
54,6.5,2.8,4.6,1.5,versicolor,0
55,5.7,2.8,4.5,1.3,versicolor,3
56,6.3,3.3,4.7,1.6,versicolor,2
57,4.9,2.4,3.3,1.0,versicolor,1
58,6.6,2.9,4.6,1.3,versicolor,1
59,5.2,2.7,3.9,1.4,versicolor,2
60,5.0,2.0,3.5,1.0,versicolor,3
61,5.9,3.0,4.2,1.5,versicolor,2
62,6.0,2.2,4.0,1.0,versicolor,0
63,6.1,2.9,4.7,1.4,versicolor,3
64,5.6,2.9,3.6,1.3,versicolor,0
65,6.7,3.1,4.4,1.4,versicolor,2
66,5.6,3.0,4.5,1.5,versicolor,0
67,5.8,2.7,4.1,1.0,versicolor,1
68,6.2,2.2,4.5,1.5,versicolor,3
69,5.6,2.5,3.9,1.1,versicolor,2
70,5.9,3.2,4.8,1.8,versicolor,0
71,6.1,2.8,4.0,1.3,versicolor,2
72,6.3,2.5,4.9,1.5,versicolor,3
73,6.1,2.8,4.7,1.2,versicolor,0
74,6.4,2.9,4.3,1.3,versicolor,3
75,6.6,3.0,4.4,1.4,versicolor,1
76,6.8,2.8,4.8,1.4,versicolor,2
77,6.7,3.0,5.0,1.7,versicolor,3
78,6.0,2.9,4.5,1.5,versicolor,3
79,5.7,2.6,3.5,1.0,versicolor,0
80,5.5,2.4,3.8,1.1,versicolor,1
81,5.5,2.4,3.7,1.0,versicolor,0
82,5.8,2.7,3.9,1.2,versicolor,2
83,6.0,2.7,5.1,1.6,versicolor,0
84,5.4,3.0,4.5,1.5,versicolor,0
85,6.0,3.4,4.5,1.6,versicolor,0
86,6.7,3.1,4.7,1.5,versicolor,1
87,6.3,2.3,4.4,1.3,versicolor,0
88,5.6,3.0,4.1,1.3,versicolor,3
89,5.5,2.5,4.0,1.3,versicolor,0
90,5.5,2.6,4.4,1.2,versicolor,0
91,6.1,3.0,4.6,1.4,versicolor,2
92,5.8,2.6,4.0,1.2,versicolor,0
93,5.0,2.3,3.3,1.0,versicolor,2
94,5.6,2.7,4.2,1.3,versicolor,2
95,5.7,3.0,4.2,1.2,versicolor,0
96,5.7,2.9,4.2,1.3,versicolor,3
97,6.2,2.9,4.3,1.3,versicolor,1
98,5.1,2.5,3.0,1.1,versicolor,0
99,5.7,2.8,4.1,1.3,versicolor,3
100,6.3,3.3,6.0,2.5,virginica,1
101,5.8,2.7,5.1,1.9,virginica,2
102,7.1,3.0,5.9,2.1,virginica,2
103,6.3,2.9,5.6,1.8,virginica,1
104,6.5,3.0,5.8,2.2,virginica,2
105,7.6,3.0,6.6,2.1,virginica,2
106,4.9,2.5,4.5,1.7,virginica,3
107,7.3,2.9,6.3,1.8,virginica,0
108,6.7,2.5,5.8,1.8,virginica,0
109,7.2,3.6,6.1,2.5,virginica,0
110,6.5,3.2,5.1,2.0,virginica,0
111,6.4,2.7,5.3,1.9,virginica,2
112,6.8,3.0,5.5,2.1,virginica,2
113,5.7,2.5,5.0,2.0,virginica,1
114,5.8,2.8,5.1,2.4,virginica,1
115,6.4,3.2,5.3,2.3,virginica,3
116,6.5,3.0,5.5,1.8,virginica,0
117,7.7,3.8,6.7,2.2,virginica,0
118,7.7,2.6,6.9,2.3,virginica,2
119,6.0,2.2,5.0,1.5,virginica,1
120,6.9,3.2,5.7,2.3,virginica,1
121,5.6,2.8,4.9,2.0,virginica,3
122,7.7,2.8,6.7,2.0,virginica,1
123,6.3,2.7,4.9,1.8,virginica,2
124,6.7,3.3,5.7,2.1,virginica,1
125,7.2,3.2,6.0,1.8,virginica,0
126,6.2,2.8,4.8,1.8,virginica,1
127,6.1,3.0,4.9,1.8,virginica,1
128,6.4,2.8,5.6,2.1,virginica,1
129,7.2,3.0,5.8,1.6,virginica,0
130,7.4,2.8,6.1,1.9,virginica,2
131,7.9,3.8,6.4,2.0,virginica,3
132,6.4,2.8,5.6,2.2,virginica,3
133,6.3,2.8,5.1,1.5,virginica,1
134,6.1,2.6,5.6,1.4,virginica,0
135,7.7,3.0,6.1,2.3,virginica,0
136,6.3,3.4,5.6,2.4,virginica,2
137,6.4,3.1,5.5,1.8,virginica,0
138,6.0,3.0,4.8,1.8,virginica,2
139,6.9,3.1,5.4,2.1,virginica,3
140,6.7,3.1,5.6,2.4,virginica,3
141,6.9,3.1,5.1,2.3,virginica,3
142,5.8,2.7,5.1,1.9,virginica,1
143,6.8,3.2,5.9,2.3,virginica,2
144,6.7,3.3,5.7,2.5,virginica,1
145,6.7,3.0,5.2,2.3,virginica,1
146,6.3,2.5,5.0,1.9,virginica,2
147,6.5,3.0,5.2,2.0,virginica,0
148,6.2,3.4,5.4,2.3,virginica,2
149,5.9,3.0,5.1,1.8,virginica,1
